City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Umzimvubu,BR,78.30000000000003,overcast clouds,-17.7125,-39.2481,DIAN SINKO
4,Sawakin,SD,70.7,scattered clouds,19.1059,37.3321,hotel safari
5,Kulhudhuffushi,MV,81.68000000000005,overcast clouds,6.6221,73.07,Maison d'arrêt et de correction de Yoro
28,Beyla,GN,77.04000000000003,broken clouds,8.6833,-8.6333,castelo pizzaria
39,Kibala,TD,87.89000000000001,few clouds,9.1104,18.3463,Hotel le Carrefour
61,Lodja,CD,70.06999999999996,overcast clouds,-3.4833,23.4333,Tibati Hotel
68,Unguia,CO,80.10000000000002,scattered clouds,8.0434,-77.0945,Dormitório labelle
70,Savannah Bight,HN,80.92000000000004,scattered clouds,16.45,-85.85,Le Pilotis
75,Ikom,NG,80.15,overcast clouds,5.9667,8.7063,Almupaark complex
77,Kanniyakumari,IN,79.12000000000006,overcast clouds,8.0833,77.5667,Doo Palace Hotel
85,Formosa,AR,71.55000000000003,clear sky,-26.1775,-58.1781,Roads And Buildings (R&B) Guest House
90,Waw,SS,81.83999999999997,overcast clouds,7.7029,27.9953,Hotel Angra do Cerrado - Guiratinga MT
99,Wattegama,LK,72.18000000000006,overcast clouds,6.7989,81.4808,Colinas de Matasiete
102,Nimaparha,IN,72.00000000000001,overcast clouds,20.0667,86.0167,Hotel Matinha
124,Singarayakonda,IN,72.85999999999999,scattered clouds,15.25,80.0333,Hotel Narayan Avezika Comfort
143,Torres,BR,70.82999999999996,overcast clouds,-29.3353,-49.7269,LIKWALE LODGE
152,Dhar,IN,74.13999999999999,clear sky,22.6,75.3,Hotel Tocantins
153,Iralaya,HN,80.93999999999997,clear sky,15.0,-83.2333,HOTEL ARARAS
169,Camana,PE,72.81999999999995,overcast clouds,-16.6228,-72.7111,Hotel La Joya Isla Mujeres
172,Nizwa,OM,72.61000000000004,few clouds,22.9333,57.5333,Miarina
173,Yei,SS,71.27999999999993,broken clouds,4.095,30.6779,Novotel Dakar
185,Mandera,KE,85.1,broken clouds,3.9366,41.867,Casa de Campo Resort and Villas
189,Masoyila,SL,76.80000000000005,broken clouds,8.6097,-13.19,Ghanzi Farmhouse
195,Cabedelo,BR,81.26999999999998,overcast clouds,-6.9811,-34.8339,Sunset Inn
197,Aquiraz,BR,81.18000000000006,overcast clouds,-3.9014,-38.3911,Mutrah Hotel
206,Acarau,BR,78.58000000000004,overcast clouds,-2.8856,-40.12,Hotel Octave Maldives
209,Pimentel,PE,79.08999999999997,light rain,-6.8367,-79.9342,Sunscape Splash Montego Bay
211,Carauari,BR,71.53,light rain,-4.8828,-66.8958,hotel nisarg lounge
